                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46007,                 2.5187,                 1.0368,                0.55113,                0.43362,                0.60359,                0.48813,                0.54571,                 3.0336,                 1.2253,             0.00036192,             0.00036192,             0.00036192
                      2,                0.37405,                 1.3086,                0.95009,                0.61237,                0.69109,                0.76342,                0.42973,                 1.1429,                 3.4436,                 1.9381,             0.00070325,             0.00070325,             0.00070325
                      3,                0.39675,                 1.0446,                0.95561,                0.85083,                0.66109,                0.72027,                0.52867,                0.82613,                 2.9994,                 1.6519,              0.0010153,              0.0010153,              0.0010153
                      4,                0.39303,                0.95598,                0.96313,                0.96736,                0.90257,                0.98159,                0.89264,                0.46506,                 1.8289,                 1.1276,             0.00097901,             0.00097901,             0.00097901
                      5,                0.38412,                0.88287,                0.95362,                0.81127,                 0.6482,                0.82606,                0.77616,                0.38536,                 2.5546,                 1.0395,             0.00097901,             0.00097901,             0.00097901
                      6,                0.36154,                0.78541,                 0.9401,                 0.8322,                0.90208,                0.97209,                0.92195,                0.34923,                  1.322,                  0.971,             0.00093502,             0.00093502,             0.00093502
                      7,                 0.3505,                0.70802,                0.92499,                0.86776,                0.88016,                 0.9763,                0.94836,                0.29018,                 1.3386,                  0.932,             0.00089102,             0.00089102,             0.00089102
                      8,                0.34194,                0.64614,                0.92656,                0.99074,                0.98603,                 0.9808,                0.93677,                0.34145,                0.82431,                0.98769,             0.00084703,             0.00084703,             0.00084703
                      9,                 0.3264,                0.55575,                 0.9166,                0.99331,                0.98687,                0.97961,                0.95271,                0.27626,                0.66596,                0.92879,             0.00080303,             0.00080303,             0.00080303
                     10,                 0.3148,                0.56147,                0.91842,                0.98509,                0.96987,                0.98153,                0.96685,                0.25865,                0.67534,                 0.8994,             0.00075904,             0.00075904,             0.00075904
                     11,                0.29342,                0.52551,                0.91245,                0.89524,                0.98071,                0.98035,                0.96367,                0.24461,                0.79615,                0.89598,             0.00071504,             0.00071504,             0.00071504
                     12,                0.29157,                0.48959,                0.90378,                 0.9916,                0.98687,                0.97957,                0.96375,                0.24028,                0.56114,                0.88961,             0.00067104,             0.00067104,             0.00067104
                     13,                0.29488,                0.45924,                0.90167,                0.99299,                0.98687,                0.98301,                0.97303,                0.21543,                0.46408,                0.87068,             0.00062705,             0.00062705,             0.00062705
                     14,                0.30204,                0.47931,                0.91051,                0.99146,                0.98687,                0.97988,                0.95615,                0.26644,                   0.48,                0.90294,             0.00058305,             0.00058305,             0.00058305
                     15,                0.29694,                0.46077,                0.91172,                0.98581,                0.98633,                0.98026,                0.96683,                0.23315,                0.51947,                 0.8843,             0.00053906,             0.00053906,             0.00053906
                     16,                0.19764,                0.59133,                0.90999,                0.98876,                0.98687,                0.98125,                0.97175,                0.23034,                0.56673,                 0.8891,             0.00049506,             0.00049506,             0.00049506
                     17,                0.18317,                0.47441,                0.89659,                0.99024,                0.98687,                0.98144,                0.97089,                0.20765,                0.43695,                0.86106,             0.00045107,             0.00045107,             0.00045107
                     18,                0.17899,                0.44901,                0.88016,                 0.9865,                0.98335,                 0.9807,                0.97436,                0.19383,                 0.4103,                0.84296,             0.00040707,             0.00040707,             0.00040707
                     19,                0.16528,                0.42811,                0.87792,                0.99398,                0.98687,                0.98129,                0.97487,                0.17288,                0.36584,                0.82831,             0.00036307,             0.00036307,             0.00036307
                     20,                0.15509,                 0.3672,                0.87165,                0.99378,                0.98687,                0.98302,                0.97737,                0.16983,                0.33251,                0.82776,             0.00031908,             0.00031908,             0.00031908
                     21,                0.14558,                0.34137,                0.86432,                0.99293,                0.98687,                 0.9835,                0.97951,                0.14935,                0.29217,                0.82726,             0.00027508,             0.00027508,             0.00027508
                     22,                0.13379,                0.32936,                0.85873,                0.99406,                0.98687,                0.98194,                0.97589,                0.14847,                0.28865,                0.81305,             0.00023109,             0.00023109,             0.00023109
                     23,                0.13092,                0.31618,                0.85141,                0.99348,                0.98687,                0.98045,                0.97536,                 0.1617,                0.28374,                0.83178,             0.00018709,             0.00018709,             0.00018709
                     24,                0.12747,                0.30275,                0.85701,                0.99416,                0.98687,                0.98242,                0.97818,                0.12952,                0.25021,                0.80542,              0.0001431,              0.0001431,              0.0001431
                     25,                0.11636,                0.29531,                 0.8488,                0.99372,                0.98687,                0.98067,                0.97657,                0.13118,                 0.2476,                0.80701,             9.9101e-05,             9.9101e-05,             9.9101e-05
