                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56966,                 2.1466,                 1.1029,                0.83021,                0.83555,                0.95064,                0.79033,                0.58638,                 1.8154,                 1.2872,             0.00036192,             0.00036192,             0.00036192
                      2,                0.41699,                0.73579,                 0.9635,                0.60925,                 0.7002,                0.64139,                0.45279,                0.86606,                 6.0552,                 1.7026,             0.00070325,             0.00070325,             0.00070325
                      3,                0.42432,                0.70891,                0.96458,                0.58984,                0.81741,                0.83426,                  0.682,                0.61835,                 4.0848,                 1.4431,              0.0010153,              0.0010153,              0.0010153
                      4,                0.41976,                0.60616,                0.96447,                 0.9207,                0.71285,                0.76974,                0.64545,                0.81706,                 1.6477,                 1.5277,             0.00097901,             0.00097901,             0.00097901
                      5,                0.40093,                0.56676,                0.95553,                0.81599,                0.76687,                0.77965,                0.69484,                0.50687,                  1.655,                 1.2021,             0.00097901,             0.00097901,             0.00097901
                      6,                0.39003,                0.52122,                0.95502,                0.87752,                0.79096,                0.93656,                0.82438,                 0.4047,                 1.2602,                 1.0723,             0.00093502,             0.00093502,             0.00093502
                      7,                0.38008,                0.45052,                0.94894,                0.91488,                0.73911,                0.96466,                0.92215,                0.32039,                0.82332,                0.98698,             0.00089102,             0.00089102,             0.00089102
                      8,                0.37501,                0.45481,                0.94239,                0.99164,                0.98687,                0.98192,                0.94083,                0.32256,                0.39468,                 0.9789,             0.00084703,             0.00084703,             0.00084703
                      9,                0.34076,                 0.4083,                0.92499,                0.94869,                0.97325,                0.98221,                0.95372,                0.28464,                0.42332,                 0.9421,             0.00080303,             0.00080303,             0.00080303
                     10,                0.34076,                0.39301,                0.92309,                0.99005,                 0.9749,                0.98256,                0.93644,                0.33538,                0.33067,                 0.9551,             0.00075904,             0.00075904,             0.00075904
                     11,                0.32691,                0.35595,                0.93327,                  0.976,                0.98541,                0.97967,                0.94194,                0.29035,                0.30553,                0.93216,             0.00071504,             0.00071504,             0.00071504
                     12,                0.30935,                0.36182,                0.91353,                0.99315,                0.98687,                0.98078,                 0.9584,                0.28509,                0.28792,                0.91875,             0.00067104,             0.00067104,             0.00067104
                     13,                0.31261,                0.34945,                0.91576,                 0.9909,                0.98687,                0.98527,                0.97003,                0.24698,                0.27015,                0.89711,             0.00062705,             0.00062705,             0.00062705
                     14,                0.31007,                0.34266,                 0.9092,                0.99036,                0.98687,                 0.9835,                0.97593,                0.22138,                0.24253,                0.86103,             0.00058305,             0.00058305,             0.00058305
                     15,                0.29227,                0.35497,                0.90473,                 0.9942,                0.98687,                0.98395,                0.97842,                0.21215,                0.21793,                0.85235,             0.00053906,             0.00053906,             0.00053906
                     16,                0.20431,                0.34702,                0.91587,                0.98266,                0.91642,                 0.9845,                0.97491,                0.20349,                0.30412,                0.85377,             0.00049506,             0.00049506,             0.00049506
                     17,                0.19002,                0.30194,                0.88824,                0.98079,                0.98687,                0.98419,                0.97609,                 0.2041,                0.22206,                0.85441,             0.00045107,             0.00045107,             0.00045107
                     18,                0.18064,                0.29437,                0.88081,                0.98729,                0.98687,                0.98149,                0.97755,                0.18479,                0.22406,                0.83516,             0.00040707,             0.00040707,             0.00040707
                     19,                  0.169,                0.27192,                0.88689,                0.99365,                0.98687,                0.98529,                 0.9784,                0.17064,                0.17295,                0.82609,             0.00036307,             0.00036307,             0.00036307
                     20,                0.15941,                0.25159,                0.88767,                0.99355,                0.98687,                0.98191,                0.97891,                0.17476,                 0.1673,                0.82928,             0.00031908,             0.00031908,             0.00031908
                     21,                  0.146,                0.21986,                0.87038,                0.99394,                0.98687,                  0.983,                0.97941,                0.16212,                0.14638,                0.82313,             0.00027508,             0.00027508,             0.00027508
                     22,                0.14639,                0.20872,                0.86166,                0.99375,                0.98687,                0.98652,                 0.9818,                0.15735,                0.14817,                0.82047,             0.00023109,             0.00023109,             0.00023109
                     23,                0.13512,                0.19907,                0.85579,                0.99428,                0.98687,                0.98278,                0.97918,                0.15557,                0.14951,                0.82274,             0.00018709,             0.00018709,             0.00018709
                     24,                0.13015,                0.18616,                0.85949,                0.99411,                0.98687,                0.98288,                0.97957,                0.14027,                0.13532,                 0.8104,              0.0001431,              0.0001431,              0.0001431
                     25,                0.11873,                0.17908,                0.84689,                0.99394,                0.98687,                 0.9852,                0.98159,                0.13128,                0.13799,                0.80366,             9.9101e-05,             9.9101e-05,             9.9101e-05
